baseline,count,repetition,updates_per_actor,create_total_ms,create_per_actor_ms,pose_update_total_ms,pose_update_per_actor_update_ms,shape_update_total_ms,shape_update_per_actor_ms,actors_after_create,actors_after_pose,actors_after_shape,components_after_create,components_after_pose,components_after_shape,component_names_reused_during_pose,component_names_reused_during_shape,create_payload_bytes,pose_payload_bytes_total,shape_payload_bytes,create_ok,pose_ok,shape_ok,mode
unreal_assets,50,0,5,15.625499989255331,0.31250999978510663,3.6634999996749684,0.014653999998699874,0.9767000010469928,0.019534000020939857,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,1,5,14.857000001939014,0.29714000003878027,3.487399997538887,0.013949599990155548,0.9515999990981072,0.019031999981962144,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,2,5,15.225999988615513,0.30451999977231026,3.3896999957505614,0.013558799983002245,0.9065000049304217,0.018130000098608434,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,3,5,15.176500004599802,0.30353000009199604,3.408000004128553,0.013632000016514212,0.9652000007918105,0.01930400001583621,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,4,5,15.279200000804849,0.305584000016097,3.3675000013317913,0.013470000005327165,0.9508999937679619,0.019017999875359237,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,5,5,14.592899999115616,0.2918579999823123,3.268300002673641,0.013073200010694563,0.9109999955398962,0.018219999910797924,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,6,5,15.105700003914535,0.3021140000782907,3.337800008011982,0.013351200032047927,0.9017999982461333,0.018035999964922667,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,7,5,14.992000011261553,0.29984000022523105,3.414100006921217,0.013656400027684867,0.8981999999377877,0.017963999998755753,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,8,5,16.30039999145083,0.3260079998290166,3.456000005826354,0.013824000023305416,0.905399996554479,0.01810799993108958,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,50,9,5,15.072800000780262,0.30145600001560524,3.3218000025954098,0.013287200010381639,0.9215999889420345,0.01843199977884069,50,50,50,50,50,50,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,0,5,29.9146000033943,0.299146000033943,6.445599996368401,0.012891199992736802,1.836600000387989,0.01836600000387989,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,1,5,31.98260000499431,0.3198260000499431,6.7617999884532765,0.013523599976906553,1.8447000038577244,0.018447000038577244,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,2,5,32.2425999911502,0.322425999911502,8.381199993891641,0.016762399987783283,1.9215999927837402,0.0192159999278374,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,3,5,32.709999999497086,0.32709999999497086,9.312800000770949,0.018625600001541898,3.099800000200048,0.03099800000200048,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,100,4,5,32.28159999707714,0.3228159999707714,6.934799996088259,0.013869599992176518,1.8530999950598925,0.018530999950598925,100,100,100,100,100,100,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
