baseline,count,repetition,updates_per_actor,create_total_ms,create_per_object_ms,pose_update_total_ms,pose_update_per_object_ms,shape_update_total_ms,shape_update_per_object_ms,no_op_total_ms,no_op_per_object_ms,destroy_total_ms,destroy_per_object_ms,actor_count,components_after_create,components_after_pose,components_after_shape,components_created_approx,components_destroyed_approx,components_reused_during_pose,components_reused_during_shape,component_names_reused_during_pose,component_names_reused_during_shape,descriptor_bytes,triangles_estimated,create_failures,pose_failures,shape_failures,no_op_failures,mode
ellipsoid_proxy,250,3,5,79.52339999610558,0.3180935999844223,11.66029999149032,0.009328239993192256,1.3980999938212335,0.005592399975284934,0.000400003045797348,1.600012183189392e-06,12.812999993911944,0.05125199997564778,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,4,5,80.23219999449793,0.32092879997799173,11.474000013549812,0.00917920001083985,1.4062999980524182,0.005625199992209673,0.000400003045797348,1.600012183189392e-06,12.952599994605407,0.05181039997842163,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,5,5,97.36109999357723,0.3894443999743089,12.01720000244677,0.009613760001957416,1.8283999961568043,0.007313599984627217,0.0021999876480549574,8.79995059221983e-06,12.819900002796203,0.05127960001118481,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,6,5,98.65889999491628,0.39463559997966513,10.619699998642318,0.008495759998913855,1.214299991261214,0.004857199965044856,0.000600004568696022,2.400018274784088e-06,12.217199997394346,0.04886879998957738,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,7,5,98.21799999917857,0.3928719999967143,11.078399998950772,0.008862719999160617,1.2786000006599352,0.005114400002639741,0.0005999900167807937,2.3999600671231747e-06,12.541000003693625,0.0501640000147745,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,8,5,93.55479999794625,0.374219199991785,8.965600005467422,0.007172480004373938,0.8335000020451844,0.0033340000081807375,0.000600004568696022,2.400018274784088e-06,7.010899993474595,0.02804359997389838,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,9,5,87.82410000276286,0.35129640001105145,11.028199995053,0.0088225599960424,1.271499990252778,0.005085999961011112,0.000600004568696022,2.400018274784088e-06,12.820300005842,0.051281200023368,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,0,5,229.06399999919813,0.45812799999839626,21.711000008508563,0.008684400003403425,2.4493000091752037,0.0048986000183504075,0.000500003807246685,1.00000761449337e-06,25.65199999662582,0.05130399999325164,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,1,5,220.0827000051504,0.4401654000103008,21.955699994578026,0.00878227999783121,2.4588999949628487,0.0049177999899256974,0.000500003807246685,1.00000761449337e-06,19.543000002158806,0.03908600000431761,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,2,5,201.54519999050535,0.4030903999810107,21.33599999069702,0.008534399996278808,2.3882999958004802,0.0047765999916009605,0.000500003807246685,1.00000761449337e-06,26.37700000195764,0.05275400000391528,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,3,5,211.60690000397153,0.42321380000794306,21.25289999821689,0.008501159999286755,2.3680000012973323,0.004736000002594665,0.000600004568696022,1.200009137392044e-06,26.70370000123512,0.05340740000247024,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,4,5,209.71940000890754,0.4194388000178151,21.416300005512312,0.008566520002204925,2.490300001227297,0.004980600002454594,0.000500003807246685,1.00000761449337e-06,27.091800002381206,0.05418360000476241,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,5,5,225.9189000033075,0.451837800006615,21.349900009226985,0.008539960003690793,2.368500005104579,0.004737000010209158,0.000500003807246685,1.00000761449337e-06,24.37679999275133,0.04875359998550266,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,6,5,218.72480001184158,0.43744960002368316,21.25720000185538,0.008502880000742152,2.347900008317083,0.004695800016634166,0.000500003807246685,1.00000761449337e-06,28.049600005033426,0.05609920001006685,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,7,5,205.66809999581892,0.41133619999163784,21.400900004664436,0.008560360001865774,2.40979999944102,0.00481959999888204,0.000600004568696022,1.200009137392044e-06,28.589599998667836,0.05717919999733567,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,8,5,233.6559999966994,0.4673119999933988,21.594899997580796,0.00863795999903232,2.4508999922545627,0.004901799984509125,0.000600004568696022,1.200009137392044e-06,29.025100011494942,0.058050200022989884,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,500,9,5,196.56060000124853,0.39312120000249706,17.385500003001653,0.006954200001200661,2.7669999981299043,0.0055339999962598085,0.0006999907782301307,1.3999815564602613e-06,29.600800000480376,0.05920160000096075,500,500,500,500,500,500,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,0,5,9.805800000322051,0.9805800000322051,0.8625000045867637,0.017250000091735274,0.1750999945215881,0.01750999945215881,0.000300002284348011,3.00002284348011e-05,1.0368000075686723,0.10368000075686723,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,1,5,6.698599987430498,0.6698599987430498,0.8831000013742596,0.017662000027485192,0.16160000814124942,0.016160000814124942,0.000300002284348011,3.00002284348011e-05,1.0101000079885125,0.10101000079885125,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,2,5,7.379000002401881,0.7379000002401881,0.8639000006951392,0.017278000013902783,0.16549999418202788,0.016549999418202788,0.000500003807246685,5.00003807246685e-05,1.0775999980978668,0.10775999980978668,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,3,5,6.805299999541603,0.6805299999541603,0.8120999991660938,0.016241999983321875,0.16209999739658087,0.016209999739658087,0.000500003807246685,5.00003807246685e-05,1.0209999891230837,0.10209999891230837,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,4,5,5.999099987093359,0.5999099987093359,0.6776999944122508,0.013553999888245016,0.16490000416524708,0.01649000041652471,0.000400003045797348,4.00003045797348e-05,1.0240999981760979,0.10240999981760979,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,5,5,5.97610000113491,0.597610000113491,0.7952000014483929,0.015904000028967857,0.16250000044237822,0.016250000044237822,0.000400003045797348,4.00003045797348e-05,1.043500000378117,0.1043500000378117,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
legacy_semantic_proxy,10,6,5,6.500100003904663,0.6500100003904663,0.7882999925641343,0.015765999851282686,0.16569999570492655,0.016569999570492655,0.000400003045797348,4.00003045797348e-05,1.1068000021623448,0.11068000021623448,10,60,60,60,60,60,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
