case_id,family,stratum,seed,condition,method,status,exception,voxel_iou,bev_iou,normalized_symmetric_chamfer,heldout_silhouette_iou,volume_error,gt_outside_prediction,prediction_outside_gt,inference_ms,primitive_count,triangle_equiv,descriptor_bytes,evaluations,objective,top_fit_iou,side_fit_iou,theta_json
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,mild_morphology,generic_mvfit,pass,,0.39330543933054396,0.7926421404682275,nan,nan,1.1076812634601578,0.12275664034458005,0.5837874659400545,11.8678,8,1280,1361,31,0.31760807213912656,0.8775510204081632,0.498539435248296,"[-0.1431008436406733,0.4339746327242977,0.5877866649021191,0.8949999999999999,0.10499999999999998]"
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,mild_morphology,sppa_text_only,pass,,0.4370471014492754,0.7684563758389261,nan,nan,0.27781765972720746,0.3072505384063173,0.45786516853932585,1.7073,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,mild_morphology,bbox,pass,,0.19535864978902953,0.6363636363636364,nan,nan,4.101220387652549,0.002871500358937545,0.8045313819307628,0.2326,1,12,165,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,mild_morphology,ellipsoid,pass,,0.31602181251622957,0.8095238095238095,nan,nan,1.6381909547738693,0.12634601579325197,0.6688435374149659,0.4912,1,160,171,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,mild_morphology,capsule,pass,,0.3074410163339383,0.7777777777777778,nan,nan,1.8786791098348887,0.08793969849246232,0.6831670822942644,0.9162,3,384,511,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,mild_morphology,billboard,pass,,0.08653535679690022,0.7414330218068536,nan,nan,0.7921751615218952,0.9038047379755922,0.5371329879101899,0.2395,579,6948,32768,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,mild_morphology,nonsemantic_visual_hull,pass,,0.5016617429837519,0.7781456953642384,nan,nan,0.9192390524048816,0.024766690595836326,0.4918645969702637,0.2329,5347,64164,32768,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,moderate_morphology,sppa_mvfit,pass,,0.5318360226777148,0.6380697050938338,nan,nan,0.5215362526920316,0.12455132806891601,0.42462845010615713,11.0991,8,896,1511,31,0.3181322539833182,0.8596881959910914,0.505524861878453,"[-0.08381966035778632,0.15165450341390224,-0.18286871777541155,1.1400000000000001,0.034999999999999996]"
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,moderate_morphology,generic_mvfit,pass,,0.05254091300602928,0.6329787234042553,nan,nan,0.6317300789662599,0.8686288585786073,0.9194896612406511,11.759,8,1280,1514,31,0.507519791316949,0.9104477611940298,0.08023483365949119,"[0.09402388949087462,0.4945992545407325,0.09988723634031346,0.79,0.034999999999999996]"
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,moderate_morphology,sppa_text_only,pass,,0.4370471014492754,0.7684563758389261,nan,nan,0.27781765972720746,0.3072505384063173,0.45786516853932585,1.7005,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
